Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
890.4728,900.3088,100,14, WIN,10.16667
,904.3182,100,20, WIN,0.1118379
905.3142,906.3326,100,1, WIN,98.1901
,908.3312,100,1, WIN,0.1234353
910.3262,912.3468,100,3, WIN,49.48952
914.3378,916.3647,100,2, WIN,49.33751
,916.4662,100,3, WIN,0.1153231
920.3502,920.3837,100,1, WIN,2989.781
924.3883,924.3968,100,0, WIN,11787.05
924.4731,927.3809,100,4, WIN,34.39127
,928.4064,100,7, WIN,0.1118549
,932.4239,100,9, WIN,0.1072602
,936.4378,100,12, WIN,0.1067999
937.4256,937.5359,100,1, WIN,906.6962
,940.4539,100,3, WIN,2.962288
,944.4718,100,10, WIN,0.1062124
947.4721,948.4047,100,0, WIN,107.2321
,948.4911,100,0, WIN,0.1188695
952.4096,952.5138,100,0, WIN,959.8126
,956.5298,100,3, WIN,-30.46259
,958.6241,100,4, WIN,0.1011034
,960.5477,100,7, WIN,0.1041182
,964.5668,100,8, WIN,0.1036847
,968.5801,100,19, WIN,0.103255
,969.4367,100,19, WIN,0.1031637
,972.6047,100,23, WIN,0.1028276
,976.617,100,23, WIN,0.1024051
,979.7117,100,28, WIN,0.1020815
,980.6354,100,28, WIN,0.1019853
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
0,8.61963,100,6, WIN,11.60143
11.6266,12.63955,100,3, WIN,98.72166
,14.65892,100,5, WIN,-1.189588
,16.66259,100,8, WIN,5.601556
17.66038,20.67671,100,2, WIN,33.15286
22.67055,24.70127,100,2, WIN,49.24367
,24.73514,100,2, WIN,-4.080212
28.67772,28.71939,100,2, WIN,2399.817
,32.7443,100,5, WIN,-0.04224627
,35.67814,100,9, WIN,2.799522
,36.76084,100,9, WIN,2.944527
,40.78737,100,12, WIN,2.642508
42.6785,44.80212,100,4, WIN,47.08942
,45.85046,100,6, WIN,-80.71234
,48.8294,100,7, WIN,0.771952
,52.85511,100,13, WIN,1.920006
,56.69331,100,20, WIN,1.825707
,56.87169,100,20, WIN,1.816663
57.85995,60.88898,100,3, WIN,33.01391
,64.9056,100,9, WIN,3.135613
,66.94387,100,14, WIN,1.567195
,68.92721,100,14, WIN,1.48456
,72.95262,100,18, WIN,1.399226
,76.98199,100,26, WIN,1.323053
,77.72024,100,26, WIN,1.308949
78.9528,80.99401,100,1, WIN,48.99064
84.99886,85.01564,100,0, WIN,5957.818
,88.0426,100,3, WIN,-0.01703643
,89.02979,100,3, WIN,1.123005
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
0,8.042658,100,5, WIN,12.4337
,12.06278,100,12, WIN,-269.6019
13.04937,14.08087,100,1, WIN,96.9463
,16.07446,100,2, WIN,-1.236524
20.08181,20.09847,100,0, WIN,5999.405
23.10308,24.11782,100,0, WIN,98.54704
,24.13539,100,0, WIN,-1.343876
27.11793,28.13749,100,1, WIN,98.08154
28.13749,32.15819,100,9, WIN,24.8713
,35.10912,100,13, WIN,9.767709
,36.17521,100,16, WIN,3.786802
,40.19412,100,21, WIN,2.746701
,44.20754,100,27, WIN,2.411915
,45.22356,100,28, WIN,2.335813
,48.223,100,29, WIN,2.179258
,52.23932,100,35, WIN,1.9976
