Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
,184.827,60,100, LOSS,
,186.2198,60,100, LOSS,
,187.5325,60,100, LOSS,
,188.8208,60,100, LOSS,
,190.0786,60,100, LOSS,
,191.5359,60,100, LOSS,
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
,250.7449,60,100, LOSS,
,252.7885,60,100, LOSS,
,254.8301,60,100, LOSS,
,256.7629,60,100, LOSS,
,259.1271,60,100, LOSS,
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
,268.7456,60,96, LOSS
,270.0517,60,96, LOSS
,271.401,60,96, LOSS
,272.6597,60,96, LOSS
,274.0576,60,96, LOSS
,275.6654,60,96, LOSS
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
